i01a         'Cultivation of paddy rice'
i01b         'Cultivation of wheat'
i01c         'Cultivation of cereal grains nec'
i01d         'Cultivation of vegetables, fruit, nuts'
i01e         'Cultivation of oil seeds'
i01f         'Cultivation of sugar cane, sugar beet'
i01g         'Cultivation of plant-based fibers'
i01h         'Cultivation of crops nec'
i01i         'Cattle farming'
i01j         'Pigs farming'
i01k         'Poultry farming'
i01l         'Meat animals nec'
i01m         'Animal products nec'
i01n         'Raw milk'
i01o         'Wool, silk-worm cocoons'
i01w1        'Manure treatment (conventional), storage and land application'
i01w2        'Manure treatment (biogas), storage and land application'
i02          'Forestry, logging and related service activities (02)'
i05          'Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)'
i10          'Mining of coal and lignite; extraction of peat (10)'
i11a         'Extraction of crude petroleum and services related to crude oil extraction, excluding surveying'
i11b         'Extraction of natural gas and services related to natural gas extraction, excluding surveying'
i11c         'Extraction, liquefaction, and regasification of other petroleum and gaseous materials'
i12          'Mining of uranium and thorium ores (12)'
i131         'Mining of iron ores'
i132011      'Mining of copper ores and concentrates'
i132012      'Mining of nickel ores and concentrates'
i132013      'Mining of aluminium ores and concentrates'
i132014      'Mining of precious metal ores and concentrates'
i132015      'Mining of lead, zinc and tin ores and concentrates'
i132016      'Mining of other non-ferrous metal ores and concentrates'
i141         'Quarrying of stone'
i142         'Quarrying of sand and clay'
i143         'Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.'
i15a         'Processing of meat cattle'
i15b         'Processing of meat pigs'
i15c         'Processing of meat poultry'
i15d         'Production of meat products nec'
i15e         'Processing vegetable oils and fats'
i15f         'Processing of dairy products'
i15g         'Processed rice'
i15h         'Sugar refining'
i15i         'Processing of Food products nec'
i15j         'Manufacture of beverages'
i15k         'Manufacture of fish products'
i16          'Manufacture of tobacco products (16)'
i17          'Manufacture of textiles (17)'
i18          'Manufacture of wearing apparel; dressing and dyeing of fur (18)'
i19          'Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)'
i20          'Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)'
i20w         'Re-processing of secondary wood material into new wood material'
i211         'Pulp'
i21w1        'Re-processing of secondary paper into new pulp'
i212         'Paper'
i22          'Publishing, printing and reproduction of recorded media (22)'
i231         'Manufacture of coke oven products'
i232         'Petroleum Refinery'
i233         'Processing of nuclear fuel'
i241         'Plastics, basic'
i241w        'Re-processing of secondary plastic into new plastic'
i242         'N-fertiliser'
i243         'P- and other fertiliser'
i244         'Chemicals nec'
i25          'Manufacture of rubber and plastic products (25)'
i26a         'Manufacture of glass and glass products'
i26w1        'Re-processing of secondary glass into new glass'
i26b         'Manufacture of ceramic goods'
i26c         'Manufacture of bricks, tiles and construction products, in baked clay'
i26d         'Manufacture of cement, lime and plaster'
i26dw        'Re-processing of ash into clinker'
i26e         'Manufacture of other non-metallic mineral products n.e.c.'
i27a         'Manufacture of basic iron and steel and of ferro-alloys and first products thereof'
i27aw        'Re-processing of secondary steel into new steel'
i2741        'Precious metals production'
i2741w       'Re-processing of secondary preciuos metals into new preciuos metals'
i2742        'Aluminium production'
i2742w       'Re-processing of secondary aluminium into new aluminium'
i2743        'Lead, zinc and tin production'
i2743w       'Re-processing of secondary lead into new lead'
i2744        'Copper production'
i2744w       'Re-processing of secondary copper into new copper'
i2745        'Other non-ferrous metal production'
i2745w       'Re-processing of secondary other non-ferrous metals into new other non-ferrous metals'
i275         'Casting of metals'
i28          'Manufacture of fabricated metal products, except machinery and equipment (28)'
i29          'Manufacture of machinery and equipment n.e.c. (29)'
i30          'Manufacture of office machinery and computers (30)'
i31          'Manufacture of electrical machinery and apparatus n.e.c. (31)'
i32          'Manufacture of radio, television and communication equipment and apparatus (32)'
i33          'Manufacture of medical, precision and optical instruments, watches and clocks (33)'
i34          'Manufacture of motor vehicles, trailers and semi-trailers (34)'
i35          'Manufacture of other transport equipment (35)'
i36          'Manufacture of furniture; manufacturing n.e.c. (36)'
i37          'Recycling of waste and scrap'
i37w1          'Recycling of bottles by direct reuse'
i4011a          'Production of electricity by coal'
i4011b          'Production of electricity by gas'
i4011c          'Production of electricity by nuclear'
i4011d          'Production of electricity by hydro'
i4011e          'Production of electricity by wind'
i4011f          'Production of electricity by petroleum and other oil derivatives'
i4011g          'Production of electricity by biomass and waste'
i4011h          'Production of electricity by solar photovoltaic'
i4011i          'Production of electricity by solar thermal'
i4011j          'Production of electricity by tide, wave, ocean'
i4011k          'Production of electricity by Geothermal'
i4011l          'Production of electricity nec'
i4012          'Transmission of electricity'
i4013          'Distribution and trade of electricity'
i402          'Manufacture of gas; distribution of gaseous fuels through mains'
i403          'Steam and hot water supply'
i41          'Collection, purification and distribution of water (41)'
i45          'Construction (45)'
i45w          'Re-processing of secondary construction material into aggregates'
i50a          'Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries'
i50b          'Retail sale of automotive fuel'
i51          'Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)'
i52          'Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)'
i55          'Hotels and restaurants (55)'
i601          'Transport via railways'
i602          'Other land transport'
i603          'Transport via pipelines'
i611          'Sea and coastal water transport'
i612          'Inland water transport'
i62          'Air transport (62)'
i63          'Supporting and auxiliary transport activities; activities of travel agencies (63)'
i64          'Post and telecommunications (64)'
i65          'Financial intermediation, except insurance and pension funding (65)'
i66          'Insurance and pension funding, except compulsory social security (66)'
i67          'Activities auxiliary to financial intermediation (67)'
i70          'Real estate activities (70)'
i71          'Renting of machinery and equipment without operator and of personal and household goods (71)'
i72          'Computer and related activities (72)'
i73          'Research and development (73)'
i74          'Other business activities (74)'
i75          'Public administration and defence; compulsory social security (75)'
i80          'Education (80)'
i85          'Health and social work (85)'
i901a          'Incineration of waste: Food'
i901b          'Incineration of waste: Paper'
i901c          'Incineration of waste: Plastic'
i901d          'Incineration of waste: Metals and Inert materials'
i901e          'Incineration of waste: Textiles'
i901f          'Incineration of waste: Wood'
i901g          'Incineration of waste: Oil/Hazardous waste'
i903a          'Biogasification of food waste, incl. land application'
i903b          'Biogasification of paper, incl. land application'
i903c          'Biogasification of sewage slugde, incl. land application'
i904a          'Composting of food waste, incl. land application'
i904b          'Composting of paper and wood, incl. land application'
i905a          'Waste water treatment, food'
i905b          'Waste water treatment, other'
i906a          'Landfill of waste: Food'
i906b          'Landfill of waste: Paper'
i906c          'Landfill of waste: Plastic'
i906d          'Landfill of waste: Inert/metal/hazardous'
i906e          'Landfill of waste: Textiles'
i906f          'Landfill of waste: Wood'
i91          'Activities of membership organisation n.e.c. (91)'
i92          'Recreational, cultural and sporting activities (92)'
i93          'Other service activities (93)'
i95          'Private households with employed persons (95)'
i99          'Extra-territorial organizations and bodies'
