Module;Source;Target;Value
Demand;CBUD_G_V(regg): budget available for government consumption;Production;0
Demand;CBUD_G_V(regg): budget available for government consumption;Closure;0
Demand;CBUD_G_V(regg): budget available for government consumption;Trade;0
Demand;CBUD_H_V(regg):budget available for household consumption;Production;0
Demand;CBUD_H_V(regg):budget available for household consumption;Closure;0
Demand;CBUD_H_V(regg):budget available for household consumption;Trade;0
Demand;CBUD_I_V(regg): budget available for gross fixed capital formation;Production;0
Demand;CBUD_I_V(regg): budget available for gross fixed capital formation;Closure;0
Demand;CBUD_I_V(regg): budget available for gross fixed capital formation;Trade;0
Demand;CONS_G_T_V(prd,regg): government consumption on aggregated product level;Production;1
Demand;CONS_G_T_V(prd,regg): government consumption on aggregated product level;Closure;1
Demand;CONS_G_T_V(prd,regg): government consumption on aggregated product level;Trade;1
Demand;CONS_H_T_V(prd,regg): household consumption on aggregated product;Production;1
Demand;CONS_H_T_V(prd,regg): household consumption on aggregated product;Closure;1
Demand;CONS_H_T_V(prd,regg): household consumption on aggregated product;Trade;1
Demand;FACREV_V(reg,va):revenue from factors of production;Production;0
Demand;FACREV_V(reg,va):revenue from factors of production;Closure;0
Demand;FACREV_V(reg,va):revenue from factors of production;Trade;0
Demand;GFCF_T_V(prd,regg): gross fixed capital formation on aggregated product level;Production;1
Demand;GFCF_T_V(prd,regg): gross fixed capital formation on aggregated product level;Closure;1
Demand;GFCF_T_V(prd,regg): gross fixed capital formation on aggregated product level;Trade;1
Demand;GRINC_G_V(regg):gross income of government;Production;0
Demand;GRINC_G_V(regg):gross income of government;Closure;0
Demand;GRINC_G_V(regg):gross income of government;Trade;0
Demand;GRINC_H_V(regg):gross income of households;Production;0
Demand;GRINC_H_V(regg):gross income of households;Closure;0
Demand;GRINC_H_V(regg):gross income of households;Trade;0
Demand;GRINC_I_V(regg):gross income of investment agent;Production;0
Demand;GRINC_I_V(regg):gross income of investment agent;Closure;0
Demand;GRINC_I_V(regg):gross income of investment agent;Trade;0
Demand;NTPREV_V(reg):revenue from net tax on production;Production;0
Demand;NTPREV_V(reg):revenue from net tax on production;Closure;0
Demand;NTPREV_V(reg):revenue from net tax on production;Trade;0
Demand;SCLFD_G_V(regg: scale parameter for government consumption;Production;0
Demand;SCLFD_G_V(regg: scale parameter for government consumption;Closure;0
Demand;SCLFD_G_V(regg: scale parameter for government consumption;Trade;0
Demand;SCLFD_H_V(regg): scale parameter for household consumption;Production;0
Demand;SCLFD_H_V(regg): scale parameter for household consumption;Closure;0
Demand;SCLFD_H_V(regg): scale parameter for household consumption;Trade;0
Demand;SCLFD_I_V(regg):scale parameter for gross fixed capital formation;Production;0
Demand;SCLFD_I_V(regg):scale parameter for gross fixed capital formation;Closure;0
Demand;SCLFD_I_V(regg):scale parameter for gross fixed capital formation;Trade;0
Demand;TIMREV_V(reg):revenue from tax on export and international margins;Production;0
Demand;TIMREV_V(reg):revenue from tax on export and international margins;Closure;0
Demand;TIMREV_V(reg):revenue from tax on export and international margins;Trade;0
Demand;TSPREV_V(reg):revenue from net tax on products;Production;0
Demand;TSPREV_V(reg):revenue from net tax on products;Closure;0
Demand;TSPREV_V(reg):revenue from net tax on products;Trade;0
Closure;GDPDEF_V: GDP deflator used as numeraire;Demand;0
Closure;GDPDEF_V: GDP deflator used as numeraire;Production;0
Closure;GDPDEF_V: GDP deflator used as numeraire;Trade;0
Closure;LASPEYRES_V(regg): Laspeyres price index for household consumption;Demand;1
Closure;LASPEYRES_V(regg): Laspeyres price index for household consumption;Production;0
Closure;LASPEYRES_V(regg): Laspeyres price index for household consumption;Trade;0
Closure;P_V(reg,prd):basic product price;Demand;1
Closure;P_V(reg,prd):basic product price;Production;1
Closure;P_V(reg,prd):basic product price;Trade;1
Closure;PAASCHE_V(regg): Paasche price index for household consumption;Demand;0
Closure;PAASCHE_V(regg): Paasche price index for household consumption;Production;0
Closure;PAASCHE_V(regg): Paasche price index for household consumption;Trade;0
Closure;PC_G_V(prd,regg): aggregate product price for government consumption;Demand;1
Closure;PC_G_V(prd,regg): aggregate product price for government consumption;Production;1
Closure;PC_G_V(prd,regg): aggregate product price for government consumption;Trade;1
Closure;PC_H_V(prd,regg): aggregate product price for household consumption;Demand;1
Closure;PC_H_V(prd,regg): aggregate product price for household consumption;Production;1
Closure;PC_H_V(prd,regg): aggregate product price for household consumption;Trade;1
Closure;PC_I_V(prd,regg): aggregate product price for gross fixed capital formation;Demand;1
Closure;PC_I_V(prd,regg): aggregate product price for gross fixed capital formation;Production;1
Closure;PC_I_V(prd,regg): aggregate product price for gross fixed capital formation;Trade;1
Closure;PIU_V(prd,regg,ind): aggregate product price for intermediate use;Demand;1
Closure;PIU_V(prd,regg,ind): aggregate product price for intermediate use;Production;1
Closure;PIU_V(prd,regg,ind): aggregate product price for intermediate use;Trade;1
