p001    'Paddy rice'
p002    'Wheat'
p003    'Cereal grains nec'
p004    'Vegetables, fruit, nuts'
p005    'Oil seeds'
p006    'Sugar cane, sugar beet'
p007    'Plant-based fibers'
p008    'Crops nec'
p009    'Animal production'
p010    'Forestry and logging'
p011    'Fishing and aquaculture'
p012    'Mining of coal and lignite and extraction of peat'
p013    'Extraction of crude petroleum'
p014    'Extraction of natural gas'
p015    'Extraction of other hydrocarbons'
p016    'Mining of metal ores'
p017    'Quarrying of stone'
p018    'Quarrying of sand and clay'
p019    'Mining of chemical and fertilizer minerals, salt and other mining and quarrying'
p020    'Manufacturing of food, beverage and tobacco products'
p021    'Manufacturing of textile, wood and printed products'
p022    'Manufacturing of coke products'
p023    'Manufacturing of refined petroleum products'
p024    'Manufacturing of chemicals and chemical products'
p025    'Manufacturing of rubber and plastic products'
p026    'Manufacturing of non-metallic mineral products'
p027    'Manufacturing of basic metals and metal products'
p028    'Manufacturing of electronic computer, optical and electrical equipment'
p029    'Manufacturing of machinery and equipment nec and other manufacturing'
p030    'Electricity by coal'
p031    'Electricity by gas'
p032    'Electricity by nuclear'
p033    'Electricity by petroleum and other oil derivatives'
p034    'Electricity by hydro'
p035    'Electricity by wind'
p036    'Electricity by biomass and waste'
p037    'Electricity by solar photovoltaic'
p038    'Electricity by solar thermal'
p039    'Electricity by tide, wave, ocean'
p040    'Electricity by geothermal'
p041    'Electricity and nec'
p042    'Transmission services of electricity'
p043    'Distribution and trade services of electricity'
p044    'Gas and gas distribution services'
p045    'Steam and hot water supply services'
p046    'Collected and purified water, distribution services of water'
p047    'Construction'
p048    'Wholesale and retail trade'
p049    'Accomodation and food service activities'
p050    'Railway transportation services'
p051    'Other land transportation services'
p052    'Sea and coastal transportation services'
p053    'Inland water transportation services'
p054    'Air transport services'
p055    'Other transportation, storage and communication services'
p056    'Real estate, renting and business activities'
p057    'Public administration, education, health and other activities'
p058    'Waste for treatment - incineration'
p059    'Waste for treatment - landfill'
p060    'Waste for treatment - other'
