p001    'Paddy rice'
p002    'Other crops'
p009    'Animal production'
p010    'Forestry and logging'
p011    'Fishing and aquaculture'
p012    'Mining of coal and lignite and extraction of peat'
p013    'Extraction of crude petroleum'
p014    'Extraction of natural gas'
p015    'Extraction of other hydrocarbons'
p016    'Mining of metal ores and non-metallic minerals'
p020    'Manufacturing of food, beverage and tobacco products'
p021    'Manufacturing of textile, wood and printed products'
p022    'Manufacturing of coke products'
p023    'Manufacturing of refined petroleum products'
p024    'Manufacturing of chemicals and chemical products'
p025    'Manufacturing of rubber and plastic products'
p026    'Manufacturing of non-metallic mineral products'
p027    'Manufacturing of basic metals and metal products'
p028    'Manufacturing of electronic computer, optical and electrical equipment'
p029    'Manufacturing of machinery and equipment nec and other manufacturing'
p030    'Electricity'
p042    'Transmission and distribution services'
p045    'Steam and hot water supply services'
p046    'Collected and purified water, distribution services of water'
p047    'Construction'
p048    'Wholesale and retail trade'
p049    'Accomodation and food service activities'
p050    'Transportation services'
p056    'Other services'
