iPARI   'Paddy rice'
iWHEA   'Wheat'
iOCER   'Cereal grains nec'
iFVEG   'Vegetables, fruit, nuts'
iOILS   'Oil seeds'
iSUGB   'Sugar cane, sugar beet'
iFIBR   'Plant-based fibers'
iOTHC   'Crops nec'
iANIM   'Animal production'
iFORE   'Forestry and logging'
iFISH   'Fishing and aquaculture'
iFOSM   'Mining fossil fuels'
iOTHM   'Mining of metal ores and non-metallic minerals'
iFBTO   'Manufacturing of food, beverage and tobacco products'
iTXWO   'Manufacturing of textile, wood and printed products'
iCOKE   'Manufacturing of coke products'
iREFN   'Manufacturing of refined petroleum products'
iCHEM   'Manufacturing of chemicals and chemical products'
iRUBP   'Manufacturing of rubber and plastic products'
iNMMP   'Manufacturing of non-metallic mineral products'
iMETP   'Manufacturing of basic metals and metal products'
iELEC   'Manufacturing of electronic computer, optical and electrical equipment'
iMACH   'Manufacturing of machinery and equipment nec and other manufacturing'
iELCF   'Electricity fossil and nuclear'
iELCG   'Electricity green'
iTRDI   'Transmission and distribution services'
iHWAT   'Steam and hot water supply services'
iWATR   'Collected and purified water, distribution services of water'
iCONS   'Construction'
iTRAD   'Wholesale and retail trade'
iHORE   'Accomodation and food service activities'
iTRAN   'Transportation services'
iREBA   'Real estate, renting and business activities'
iPUBO   'Public administration, education, health and other activities'
iWAST   'Waste for treatment'
