pPARI   'Paddy rice'
pWHEA   'Wheat'
pOCER   'Cereal grains nec'
pFVEG   'Vegetables, fruit, nuts'
pOILS   'Oil seeds'
pSUGB   'Sugar cane, sugar beet'
pFIBR   'Plant-based fibers'
pOTHC   'Crops nec'
pANIM   'Animal production'
pFORE   'Forestry and logging'
pFISH   'Fishing and aquaculture'
pFOSM   'Mining fossil fuels'
pOTHM   'Mining of metal ores and non-metallic minerals'
pFBTO   'Manufacturing of food, beverage and tobacco products'
pTXWO   'Manufacturing of textile, wood and printed products'
pCOKE   'Manufacturing of coke products'
pREFN   'Manufacturing of refined petroleum products'
pCHEM   'Manufacturing of chemicals and chemical products'
pRUBP   'Manufacturing of rubber and plastic products'
pNMMP   'Manufacturing of non-metallic mineral products'
pMETP   'Manufacturing of basic metals and metal products'
pELEC   'Manufacturing of electronic computer, optical and electrical equipment'
pMACH   'Manufacturing of machinery and equipment nec and other manufacturing'
pELCF   'Electricity fossil and nuclear'
pELCG   'Electricity green'
pTRDI   'Transmission and distribution services'
pHWAT   'Steam and hot water supply services'
pWATR   'Collected and purified water, distribution services of water'
pCONS   'Construction'
pTRAD   'Wholesale and retail trade'
pHORE   'Accomodation and food service activities'
pTRAN   'Transportation services'
pREBA   'Real estate, renting and business activities'
pPUBO   'Public administration, education, health and other activities'
pWAST   'Waste for treatment'
