t001    'Paddy rice'
t002    'Wheat'
t003    'Cereal grains nec'
t004    'Vegetables, fruit, nuts'
t005    'Oil seeds'
t006    'Sugar cane, sugar beet'
t007    'Plant-based fibers'
t008    'Crops nec'
t009    'Animal production'
t010    'Forestry and logging'
t011    'Fishing and aquaculture'
t012    'Mining of coal and lignite and extraction of peat'
t013    'Extraction of crude petroleum'
t014    'Extraction of natural gas'
t015    'Extraction of other hydrocarbons'
t016    'Mining of metal ores'
t017    'Quarrying of stone'
t018    'Quarrying of sand and clay'
t019    'Mining of chemical and fertilizer minerals, salt and other mining and quarrying'
t020    'Manufacturing of food, beverage and tobacco products'
t021    'Manufacturing of textile, wood and printed products'
t022    'Manufacturing of coke products'
t023    'Manufacturing of refined petroleum products'
t024    'Manufacturing of chemicals and chemical products'
t025    'Manufacturing of rubber and plastic products'
t026    'Manufacturing of non-metallic mineral products'
t027    'Manufacturing of basic metals and metal products'
t028    'Manufacturing of electronic computer, optical and electrical equipment'
t029    'Manufacturing of machinery and equipment nec and other manufacturing'
t030    'Electricity by coal'
t031    'Electricity by gas'
t032    'Electricity by nuclear'
t033    'Electricity by petroleum and other oil derivatives'
t034    'Electricity by hydro'
t035    'Electricity by wind'
t036    'Electricity by biomass and waste'
t037    'Electricity by solar photovoltaic'
t038    'Electricity by solar thermal'
t039    'Electricity by tide, wave, ocean'
t040    'Electricity by geothermal'
t041    'Electricity and nec'
t042    'Transmission services of electricity'
t043    'Distribution and trade services of electricity'
t044    'Gas and gas distribution services'
t045    'Steam and hot water supply services'
t046    'Collected and purified water, distribution services of water'
t047    'Construction'
t048    'Wholesale and retail trade'
t049    'Accomodation and food service activities'
t050    'Railway transportation services'
t051    'Other land transportation services'
t052    'Sea and coastal transportation services'
t053    'Inland water transportation services'
t054    'Air transport services'
t055    'Other transportation, storage and communication services'
t056    'Real estate, renting and business activities'
t057    'Public administration, education, health and other activities'
t058    'Waste for treatment - incineration'
t059    'Waste for treatment - landfill'
t060    'Waste for treatment - other'
