pAGRI   'Agriculture, forestry and fishing'
pMINI   'Mining and quarrying'
pFOOD   'Manufacturing of food, beverage and tobacco products'
pTEXT   'Manufacturing of textile, wood and printed products'
pCREF   'Manufacturing of coke and refined petroleum products'
pCHEM   'Manufacturing of chemicals and chemical products'
pRUBP   'Manufacturing of rubber and plastic products'
pNMMP   'Manufacturing of non-metallic mineral products'
pMETP   'Manufacturing of basic metals and metal products'
pELEC   'Manufacturing of electronic computer, optical and electrical equipment'
pMACH   'Manufacturing of machinery and equipment nec and other manufacturing'
pELCG   'Electricity and gas production and distribution, heat and water supply'
pCONS   'Construction'
pTRAD   'Trade, accommodation and food service activities'
pTRAN   'Transportation services'
pSERV   'Other services business and non-commercial services'
