i001    'Paddy rice'
i002    'Wheat'
i003    'Cereal grains nec'
i004    'Vegetables, fruit, nuts'
i005    'Oil seeds'
i006    'Sugar cane, sugar beet'
i007    'Plant-based fibers'
i008    'Crops nec'
i009    'Animal production'
i010    'Forestry and logging'
i011    'Fishing and aquaculture'
i012    'Mining fossil fuels'
i016    'Mining of metal ores and non-metallic minerals'
i020    'Manufacturing of food, beverage and tobacco products'
i021    'Manufacturing of textile, wood and printed products'
i022    'Manufacturing of coke products'
i023    'Manufacturing of refined petroleum products'
i024    'Manufacturing of chemicals and chemical products'
i025    'Manufacturing of rubber and plastic products'
i026    'Manufacturing of non-metallic mineral products'
i027    'Manufacturing of basic metals and metal products'
i028    'Manufacturing of electronic computer, optical and electrical equipment'
i029    'Manufacturing of machinery and equipment nec and other manufacturing'
i030    'Electricity grey'
i034    'Electricity green'
i042    'Transmission and distribution services'
i045    'Steam and hot water supply services'
i046    'Collected and purified water, distribution services of water'
i047    'Construction'
i048    'Wholesale and retail trade'
i049    'Accomodation and food service activities'
i050    'Transportation services'
i056    'Real estate, renting and business activities'
i057    'Public administration, education, health and other activities'
i058    'Waste for treatment'
