p001    'Paddy rice'
p002    'Wheat'
p003    'Cereal grains nec'
p004    'Vegetables, fruit, nuts'
p005    'Oil seeds'
p006    'Sugar cane, sugar beet'
p007    'Plant-based fibers'
p008    'Crops nec'
p009    'Animal production'
p010    'Forestry and logging'
p011    'Fishing and aquaculture'
p012    'Mining fossil fuels'
p016    'Mining of metal ores and non-metallic minerals'
p020    'Manufacturing of food, beverage and tobacco products'
p021    'Manufacturing of textile, wood and printed products'
p022    'Manufacturing of coke products'
p023    'Manufacturing of refined petroleum products'
p024    'Manufacturing of chemicals and chemical products'
p025    'Manufacturing of rubber and plastic products'
p026    'Manufacturing of non-metallic mineral products'
p027    'Manufacturing of basic metals and metal products'
p028    'Manufacturing of electronic computer, optical and electrical equipment'
p029    'Manufacturing of machinery and equipment nec and other manufacturing'
p030    'Electricity grey'
p034    'Electricity green'
p042    'Transmission and distribution services'
p045    'Steam and hot water supply services'
p046    'Collected and purified water, distribution services of water'
p047    'Construction'
p048    'Wholesale and retail trade'
p049    'Accomodation and food service activities'
p050    'Transportation services'
p056    'Real estate, renting and business activities'
p057    'Public administration, education, health and other activities'
p058    'Waste for treatment'
