pFOOD   'Food products'
pMINE   'Mining products'
pFBTO   'Manufacturing of food, beverage and tobacco products'
pTXWO   'Manufacturing of textile, wood and printed products'
pCOKE   'Manufacturing of coke products'
pREFN   'Manufacturing of refined petroleum products'
pCHEM   'Manufacturing of chemicals and chemical products'
pRUBP   'Manufacturing of rubber and plastic products'
pNMMP   'Manufacturing of non-metallic mineral products'
pMETP   'Manufacturing of basic metals and metal products'
pELEC   'Manufacturing of electronic computer, optical and electrical equipment'
pMACH   'Manufacturing of machinery and equipment nec and other manufacturing'
pELCC   'Electricity'
pTRDI   'Transmission and distribution services'
pHWAT   'Steam and hot water supply services'
pWATR   'Collected and purified water, distribution services of water'
pSERV   'Services'
