i001a   'Paddy rice'
i001b   'Wheat'
i001c   'Cereal grains nec'
i001d   'Vegetables, fruit, nuts'
i001e   'Oil seeds'
i001f   'Sugar cane, sugar beet'
i001g   'Plant-based fibers'
i001h   'Crops nec'
i001i   'Animal production'
i002    'Forestry and logging'
i005    'Fishing and aquaculture'
i010    'Mining of coal and lignite and extraction of peat'
i011a   'Extraction of crude petroleum'
i011b   'Extraction of natural gas'
i011c   'Extraction of other hydrocarbons'
i012    'Mining of metal ores'
i014a   'Quarrying of stone'
i014b   'Quarrying of sand and clay'
i014c   'Mining of chemical and fertilizer minerals, salt and other mining and quarrying'
i015    'Manufacturing of food, beverage products'
i016    'Manufacturing of tobacco products'
i017    'Manufacturing of textile products'
i018    'Manufacturing of wearing apparel; furs'
i019    'Manufacturing of leather and leather products'
i020    'Manufacturing of wood and products of wood and cork (except furniture); articles of straw and plaiting materials'
i021    'Manufacturing of pulp and paper products'
i022    'Manufacturing of printed matter and recorded media'
i023a   'Manufacturing of coke products'
i023b   'Manufacturing of refined petroleum products'
i024    'Manufacturing of chemicals and chemical products'
i025    'Manufacturing of rubber and plastic products'
i026    'Manufacturing of non-metallic mineral products'
i027    'Manufacturing of basic metals'
i028    'Manufacturing of fabricated metal products, except machinery and equipment'
i029    'Manufacturing of machinery and equipment n.e.c.'
i030    'Manufacturing of office machinery and computers'
i031    'Manufacturing of electrical machinery and apparatus n.e.c.'
i032    'Manufacturing of radio, television and communication equipment and apparatus'
i033    'Manufacturing of medical, precision and optical instruments, watches and clocks'
i034    'Manufacturing of motor vehicles, trailers and semi-trailers'
i035    'Manufacturing of other transport equipment'
i036    'Manufacturing of furniture; other manufactured goods n.e.c.'
i037    'Manufacturing of secondary raw materials'
i040a   'Electricity by coal'
i040b   'Electricity by gas'
i040c   'Electricity by nuclear'
i040f   'Electricity by petroleum and other oil derivatives'
i040d   'Electricity by hydro'
i040e   'Electricity by wind'
i040g   'Electricity by biomass and waste'
i040h   'Electricity by solar photovoltaic'
i040i   'Electricity by solar thermal'
i040j   'Electricity by tide, wave, ocean'
i040k   'Electricity by geothermal'
i040l   'Electricity and nec'
i040m   'Transmission services of electricity'
i040n   'Distribution and trade services of electricity'
i040o   'Gas and gas distribution services'
i040p   'Steam and hot water supply services'
i041    'Collected and purified water, distribution services of water'
i045    'Construction'
i050    'Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries; retail trade of motor fuel'
i051    'Wholesale trade and commission trade services, except of motor vehicles and motorcycles'
i052    'Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods'
i055    'Accomodation and food service activities'
i060a   'Railway transportation services'
i060b   'Other land transportation services'
i061a   'Sea and coastal transportation services'
i061b   'Inland water transportation services'
i062    'Air transport services'
i063    'Supporting and auxiliary transport services; travel agency services'
i064    'Post and telecommunication services'
i065    'Financial intermediation services, except insurance and pension funding services'
i066    'Insurance and pension funding services, except compulsory social security services'
i067    'Services auxiliary to financial intermediation'
i070    'Real estate services'
i071    'Renting services of machinery and equipment without operator and of personal and household goods'
i072    'Computer and related services'
i073    'Research and development services'
i074    'Other business services'
i075    'Public administration and defence services; compulsory social security services'
i080    'Education services'
i085    'Health and social work services'
i090a   'Waste for treatment - incineration'
i090b   'Waste for treatment - landfill'
i090c   'Waste for treatment - other'
i091    'Membership organisation services n.e.c.'
i092    'Recreational, cultural and sporting services'
i093    'Other services'
i095    'Private households with employed persons'
